POST session{2156675444=>#<Bar:0x000001011882e8 @val1=1, @val2=2>}
POST session{2156453012=>#<Bar:0x0000010111b928 @val1=1, @val2=2>}
POST session{2156336588=>#<Bar:0x000001010e2b98 @val1=1, @val2=2>}
PUT session:{2156336588=>#<Bar:0x000001010b3f78 @val1=1, @val2=2>}
POST session{2156189756=>#<Bar:0x0000010109b078 @val1=1, @val2=2>}
PUT session:{2156189756=>#<Bar:0x0000010107c7c8 @val1=1, @val2=2>}
POST session{2156013664=>#<Bar:0x000001010450c0 @val1=1, @val2=2>}
POST session{2155646696=>#<Bar:0x00000100f91dd0 @val1=1, @val2=2>}
POST session{2155360368=>#<Bar:0x00000100f060e0 @val1=1, @val2=2>}
POST session{2155227620=>#<Bar:0x00000100ec53c8 @val1=1, @val2=2>}
POST session{2155154596=>#<Bar:0x00000100ea1948 @val1=1, @val2=2>}
POST session{2155033300=>#<Bar:0x00000100e665a8 @val1=1, @val2=2>}
POST session{2154934320=>#<Bar:0x00000100e36060 @val1=1, @val2=2>}
POST session{2154781468=>#<Bar:0x00000100deb638 @val1=1, @val2=2>}
POST session{2154650148=>#<Bar:0x00000100dab448 @val1=1, @val2=2>}
POST session{2154603556=>#<Bar:0x00000100d94848 @val1=1, @val2=2>}
POST session{2154554500=>#<Bar:0x00000100d7c908 @val1=1, @val2=2>}
PUT session:{2154554500=>#<Bar:0x00000100d22388 @val1=1, @val2=2>}
POST session{2154296508=>#<Bar:0x00000100cfe978 @val1=1, @val2=2>}
POST session{2154241992=>#<Bar:0x00000100ce3f90 @val1=1, @val2=2>}
POST session{2154071360=>#<Bar:0x00000100c90a80 @val1=1, @val2=2>}
PUT session:{2154071360=>#<Bar:0x00000100c74070 @val1=1, @val2=2>}
PUT session:{2154071360=>#<Bar:0x00000100c26858 @val1=1, @val2=2>}
POST session{2153771760=>#<Bar:0x00000100bfe5e0 @val1=1, @val2=2>}
POST session{2153670568=>#<Bar:0x00000100bccf50 @val1=1, @val2=2>}
POST session{2153493160=>#<Bar:0x00000100b76550 @val1=1, @val2=2>}
PUT session:{2153493160=>#<Bar:0x00000100b41880 @val1=1, @val2=2>}
POST session{2153324796=>#<Bar:0x00000100b241f8 @val1=1, @val2=2>}
PUT session:{2153324796=>#<Bar:0x00000100ac6ef8 @val1=1, @val2=2>}
POST session{2153013856=>#<Bar:0x00000100a8c4c0 @val1=1, @val2=2>}
POST session{2152714200=>#<Bar:0x000001009f9fb0 @val1=1, @val2=2>}
POST session{2152293080=>#<Bar:0x0000010092c5b0 @val1=1, @val2=2>}
POST session{2155228264=>#<Bar:0x00000100ec58d0 @val1=1, @val2=2>}
POST session{2156895776=>#<Bar:0x000001011f3c40 @val1=1, @val2=2>}
POST session{2157355312=>#<Bar:0x000001012d4260 @val1=1, @val2=2>}
POST session{2157578500=>#<Bar:0x00000101341208 @val1=1, @val2=2>}
POST session{2157632036=>#<Bar:0x0000010135b448 @val1=1, @val2=2>}
POST session{2160769380=>#<Bar:0x000001019572c8 @val1=1, @val2=2>}
POST session{2163982212=>#<Bar:0x00000101f77f08 @val1=1, @val2=2>}
POST session{2164087296=>#<Bar:0x00000101fab400 @val1=1, @val2=2>}
PUT session:{2164087296=>#<Bar:0x00000101f98e70 @val1=1, @val2=2>}
POST session{2164000132=>#<Bar:0x00000101f80b08 @val1=1, @val2=2>}
POST session{2163942032=>#<Bar:0x00000101f64520 @val1=1, @val2=2>}
PUT session:{2163942032=>#<Bar:0x00000101f4f520 @val1=1, @val2=2>}
POST session{2156193984=>#<Bar:0x0000010109d180 @val1=1, @val2=2>}
PUT session:{2156193984=>#<Bar:0x0000010107f0e8 @val1=1, @val2=2>}
PUT session:{2156193984=>#<Bar:0x0000010104d048 @val1=1, @val2=2>}
POST session{2155692224=>#<Bar:0x00000100fa8180 @val1=1, @val2=2>}
POST session{2155641656=>#<Bar:0x00000100f8f670 @val1=1, @val2=2>}
POST session{2155532400=>#<Bar:0x00000100f5a0e0 @val1=1, @val2=2>}
PUT session:{2155532400=>#<Bar:0x00000100efe740 @val1=1, @val2=2>}
POST session{2155295884=>#<Bar:0x00000100ee6918 @val1=1, @val2=2>}
PUT session:{2155295884=>#<Bar:0x00000100ec21e8 @val1=1, @val2=2>}
POST session{2155117524=>#<Bar:0x00000100e8f7a8 @val1=1, @val2=2>}
POST session{2154925388=>#<Bar:0x00000100e31a98 @val1=1, @val2=2>}
POST session{2154640516=>#<Bar:0x00000100da6908 @val1=1, @val2=2>}
POST session{2154521796=>#<Bar:0x00000100d6c988 @val1=1, @val2=2>}
POST session{2154334756=>#<Bar:0x00000100d11448 @val1=1, @val2=2>}
POST session{2154284860=>#<Bar:0x00000100cf8e78 @val1=1, @val2=2>}
POST session{2154222140=>#<Bar:0x00000100cda478 @val1=1, @val2=2>}
POST session{2154058704=>#<Bar:0x00000100c8a7a0 @val1=1, @val2=2>}
POST session{2153881744=>#<Bar:0x00000100c34120 @val1=1, @val2=2>}
POST session{2153822412=>#<Bar:0x00000100c17198 @val1=1, @val2=2>}
POST session{2153694816=>#<Bar:0x00000100bd8cc0 @val1=1, @val2=2>}
PUT session:{2153694816=>#<Bar:0x00000100bbffb8 @val1=1, @val2=2>}
POST session{2153442564=>#<Bar:0x00000100b5da08 @val1=1, @val2=2>}
PUT session:{2153442564=>#<Bar:0x00000100b39658 @val1=1, @val2=2>}
POST session{2157107204=>#<Bar:0x0000010125b008 @val1=1, @val2=2>}
PUT session:{2157107204=>#<Bar:0x0000010124a448 @val1=1, @val2=2>}
POST session{2163904288=>#<Bar:0x00000101f51e40 @val1=1, @val2=2>}
PUT session:{2163904288=>#<Bar:0x00000101f39de8 @val1=1, @val2=2>}
PUT session:{2163904288=>#<Bar:0x00000101f02328 @val1=1, @val2=2>}
POST session{2163675052=>#<Bar:0x00000101ee1f58 @val1=1, @val2=2>}
POST session{2163525336=>#<Bar:0x00000101e98db0 @val1=1, @val2=2>}
POST session{2163487340=>#<Bar:0x00000101e864d8 @val1=1, @val2=2>}
PUT session:{2163487340=>#<Bar:0x00000101e6cb90 @val1=1, @val2=2>}
POST session{2163373268=>#<Bar:0x00000101e4e9a8 @val1=1, @val2=2>}
PUT session:{2163373268=>#<Bar:0x00000101e0a148 @val1=1, @val2=2>}
POST session{2163176680=>#<Bar:0x00000101dee9d0 @val1=1, @val2=2>}
POST session{2163088844=>#<Bar:0x00000101dc3b98 @val1=1, @val2=2>}
POST session{2162790392=>#<Bar:0x00000101d31ff0 @val1=1, @val2=2>}
POST session{2162704488=>#<Bar:0x00000101d080d0 @val1=1, @val2=2>}
POST session{2162632164=>#<Bar:0x00000101ce4bc8 @val1=1, @val2=2>}
POST session{2162480740=>#<Bar:0x00000101c9acc8 @val1=1, @val2=2>}
POST session{2162072836=>#<Bar:0x00000101bd3a08 @val1=1, @val2=2>}
POST session{2161392128=>#<Bar:0x00000101a87400 @val1=1, @val2=2>}
POST session{2161083176=>#<Bar:0x000001019f0650 @val1=1, @val2=2>}
get of 2161083176
POST session{2160436460=>#<Bar:0x000001018b49d8 @val1=1, @val2=2>}
POST session{2157818824=>#<Bar:0x000001013b6790 @val1=1, @val2=2>}
PUT session:{2157818824=>#<Bar:0x000001013a14f0 @val1=1, @val2=2>}
